,val,s_cond,s_visi
0,5.024730800498865,Haze,6.0
1,6.62362365080175,Clear,10.0
2,11.150528047545532,Overcast,8.0
3,1.7689073867559346,Clear,10.0
4,9.78330333543998,Partly Cloudy,10.0
5,10.61158402695542,Clear,10.0
6,2.3138150180065997,Mostly Cloudy,10.0
7,1.9112551784056109,Partly Cloudy,10.0
8,9.107001181181932,Partly Cloudy,10.0
9,8.971334473135144,Clear,10.0
10,30.903548727062283,Clear,9.0
11,2.80685724748349,Clear,10.0
12,4.522654625285787,Overcast,10.0
13,10.884331988734512,Partly Cloudy,10.0
14,8.057557821967706,Clear,10.0
15,3.471396468431841,Mostly Cloudy,7.0
16,34.19585297981086,Mostly Cloudy,7.0
17,4.225119837089877,Clear,10.0
18,4.820448299626884,Clear,10.0
19,14.566057709316901,Haze,6.0
20,10.759106200179218,Light Rain,2.0
21,2.413803140992661,Clear,10.0
22,3.4033716265270746,Overcast,10.0
23,23.884147214613776,Clear,10.0
24,9.607510802564056,Clear,10.0
25,11.565204614392501,Partly Cloudy,10.0
26,27.98132312959563,Clear,10.0
27,2.783932562257019,Partly Cloudy,10.0
28,4.332147963231937,Mostly Cloudy,10.0
29,3.34753704582218,Clear,10.0
30,1.964840026325654,Overcast,10.0
31,5.308423278256429,Clear,10.0
32,15.169704825320204,Clear,10.0
33,19.500850073071735,Clear,8.0
34,3.581363918398459,Clear,10.0
35,15.705754871518707,Clear,10.0
36,3.4569262125519966,Clear,10.0
37,9.410377498359207,Clear,10.0
38,4.3243618810436635,Clear,10.0
39,18.26840046195661,Rain,1.8
40,7.312494470200923,Clear,10.0
41,3.9904353847426077,Clear,8.0
42,6.060057926406585,Scattered Clouds,10.0
43,7.8057931881442935,Scattered Clouds,10.0
44,19.527120767921815,Overcast,10.0
45,5.972442033859888,Clear,10.0
46,8.578866706316523,Clear,10.0
47,6.192695350479893,Clear,10.0
48,19.64821915360555,Clear,10.0
49,16.72542139317699,Heavy Rain,0.5
50,7.464013771344625,Clear,10.0
51,12.22527879180482,Overcast,8.0
52,5.745373578088861,Mostly Cloudy,7.0
53,4.046753661403003,Clear,10.0
54,3.584594283994608,Partly Cloudy,8.0
55,7.746345121077055,Clear,10.0
56,3.723277656396705,Partly Cloudy,10.0
57,7.343156564088337,Clear,10.0
58,27.784221726284695,Mostly Cloudy,10.0
59,5.020031206923199,Clear,10.0
60,7.628235413662245,Clear,10.0
61,2.783288747325148,Clear,10.0
62,5.006427436942647,Clear,10.0
